Sales Order Number,Sales Order Date,Customer ID,product_id,system_sku,main_category,sub_category,brand_name,product_name,Visitors,Quantity,Transactions,Sales,Profit,Shipment Order Date,Ship Mode,City,Country,Location
1040,6/28/2018,562,58835,544-20672465803,Beauty,Personal Care,Salvatore Ferragamo,Salvatore Ferragamo Signorina Misteriosa Body Lotion 200ml/6.7oz,1,2,121.78,121.78,30.445,6/4/2018 11:48,Standard Class,Houston,United States,Texas
1041,1/20/2019,686,35044,544-20984200344,Beauty,Men,BioSilk,BioSilk Silk Therapy Molding Silk (Medium Hold Low Shine) 89ml/3oz,1,7,"1,927.59",1927.59,751.7601,6/4/2018 11:56,Standard Class,Houston,United States,Texas
1042,1/26/2019,562,31907,544-21090178406,Beauty,Fragrance,Marc Jacobs,Marc Jacobs Daisy Kiss Eau De Toilette Spray 50ml/1.7oz,1,3,449.97,449.97,220.4853,6/4/2018 11:57,Standard Class,Naperville,United States,Illinois
1043,5/4/2018,363,31355,544-22082019206,Beauty,Fragrance,Reminiscence,Reminiscence Rem L'Acqua Eau De Toilette Spray 100ml/3.4oz,1,2,276.28,276.28,0,6/4/2018 11:58,Standard Class,Los Angeles,United States,California
1044,11/5/2018,687,30682,544-18679940106,Beauty,Fragrance,HERMÈS,Hermes Le Jardin De Monsieur Li Eau De Toilette Spray 100ml/3.3oz,1,9,629.64,629.64,107.0388,6/4/2018 11:58,Standard Class,Melbourne,United States,Florida
1045,6/10/2018,686,31369,544-18173040906,Beauty,Fragrance,Repetto,Repetto Eau De Toilette Spray 80ml/2.6oz,1,8,20.86,20.856,-16.6848,6/4/2018 11:58,First Class,Eagan,United States,Minnesota
1046,4/11/2019,346,31135,544-16288344406,Beauty,Fragrance,Van Cleef & Arpels,Van Cleef & Arpels Reve Eau De Parfum Spray 100ml/3.3oz,1,3,2.86,2.862,-2.2896,6/4/2018 11:59,First Class,Eagan,United States,Minnesota
1047,1/31/2018,687,30299,544-20192931606,Beauty,Fragrance,DKNY,DKNY Be Desired Eau De Parfum Spray 50ml/1.7oz,1,4,6.53,6.528,-4.5696,6/4/2018 12:00,Second Class,Westland,United States,Michigan
1048,1/20/2019,47,24591,544-12672882501,Beauty,Skincare,Darphin,Darphin Melaperfect Anti-Dark Spots Perfecting Treatment 30ml/1oz,1,3,14.35,14.352,4.485,6/4/2018 12:01,Standard Class,Dover,United States,Delaware
1049,12/13/2018,323,30533,544-18151784206,Beauty,Fragrance,Givenchy,Givenchy Very Irresistible Eau De Parfum Spray 75ml/2.5oz,1,7,50.12,50.12,-0.6265,6/4/2018 12:05,Standard Class,Dover,United States,Delaware
1050,3/17/2018,323,24697,544-20876863101,Beauty,Skincare,Ella Bache,Ella Bache Green Lift Spirulina Wrinkle-Lifting Cream 50ml/1.69oz,1,2,15.98,15.984,1.3986,6/4/2018 12:05,Standard Class,New Albany,United States,Indiana
1051,12/26/2018,561,33359,544-18636928514,Beauty,Men,Roberto Cavalli,Roberto Cavalli Just Cavalli Him (New Packaging) Coffret: Eau De Toilette Spray 90ml/3oz + Shower Gel 75ml/2.5oz 2pcs,1,3,239.97,239.97,86.3892,6/4/2018 12:12,Standard Class,New Albany,United States,Indiana
1052,4/8/2019,561,60435,544-22395964344,Beauty,Personal Care,Redken,Redken All Soft Mega Conditioner (Nourishment For Severely Dry Hair) 1000ml/33.8oz,1,11,192.72,192.72,92.5056,6/4/2018 12:15,Standard Class,New Albany,United States,Indiana
1053,3/22/2019,42,58955,544-13375765503,Beauty,Fragrance,Roger & Gallet,Roger & Gallet Bois d' Orange Perfumed Soap Coffret 3x100g/3.5oz,1,3,34.05,34.05,9.534,6/4/2018 12:27,Standard Class,New Albany,United States,Indiana
1054,9/29/2018,564,60852,544-19567498103,Beauty,Personal Care,Molton Brown,Molton Brown Delicious Rhubarb & Rose Hand Lotion 300ml/10oz,1,4,480,480,225.6,6/4/2018 12:29,Standard Class,New York City,United States,New York
1055,11/21/2018,666,60087,544-21815464344,Beauty,Personal Care,Redken,Redken Genius Wash Cleansing Conditioner (For Coarse Hair) 1000ml/33.8oz,1,2,185.38,185.376,-34.758,6/4/2018 12:46,Standard Class,New York City,United States,New York
1056,2/13/2019,666,60056,544-21548000744,Beauty,Personal Care,Schwarzkopf,Schwarzkopf BC Oil Miracle Barbary Fig Oil & Keratin Restorative Conditioning Milk (For Very Dry and Brittle Hair) 150ml/5.1oz,1,1,58.92,58.924,-153.2024,6/4/2018 12:46,First Class,Troy,United States,New York
1057,7/1/2018,689,60125,544-14270047203,Beauty,Personal Care,Tabac,Tabac Tabac Original Luxury Soap 150g/5.3oz,1,5,21.99,21.99,-32.985,6/4/2018 12:47,First Class,Troy,United States,New York
1058,1/20/2019,346,60126,544-14434401244,Beauty,Personal Care,Rusk,Rusk Deepshine Oil Moisturizing Shampoo (Sulfate-Free) 250ml/8.5oz,1,2,18.26,18.264,-13.3936,6/4/2018 12:47,First Class,Troy,United States,New York
1059,8/23/2018,363,31781,544-14505232706,Beauty,Fragrance,Kenzo,Kenzo Madly Eau De Toilette Spray 50ml/1.7oz,1,2,101.99,101.994,-71.3958,6/4/2018 12:56,First Class,Troy,United States,New York
1060,3/25/2019,440,31953,544-19945121301,Beauty,Skincare,Academie,Academie Derm Acte Multivitamin Mask 75ml/2.5oz,1,4,541.24,541.24,5.4124,6/4/2018 13:02,First Class,Troy,United States,New York
1061,4/12/2019,419,36053,544-16651480421,Beauty,Men,Clinique,Clinique Oil Control Face Wash 200ml/6.7oz,1,12,70.68,70.68,31.0992,6/4/2018 13:04,First Class,Troy,United States,New York
1062,1/28/2019,346,32785,544-16753331005,Beauty,Men,Giorgio Armani,Giorgio Armani Armani Eau D'Aromes Eau De Toilette Spray 50ml/1.7oz,1,5,15.92,15.92,5.373,6/4/2018 13:04,First Class,Troy,United States,New York
1063,4/18/2018,690,58628,544-22558481803,Beauty,Personal Care,Payot,Payot Body Elixir Crème Sublime Elixir Firming Care with Precious Oils 200ml/6.7oz,1,2,686.4,686.4,77.22,6/4/2018 13:07,Standard Class,Los Angeles,United States,California
1064,4/1/2019,419,30545,544-15850786006,Beauty,Fragrance,Gres,Gres Cabotine Eau Vivide Eau De Toilette Spray 100ml/3.4oz,1,2,11.12,11.12,3.475,6/4/2018 13:08,Standard Class,Los Angeles,United States,California
1065,2/17/2018,561,37745,544-21546000944,Beauty,Men,Goldwell,Goldwell Style Sign Curly Twist Curl Control 2 Moisturizing Curl Cream 100ml/3.3oz,1,5,493.43,493.43,-70.49,6/4/2018 13:08,Standard Class,Los Angeles,United States,California
1066,8/31/2018,690,57290,544-20074051144,Beauty,Personal Care,L'Oreal,L'Oreal Professionnel Expert Serie - Vitamino Color Fresh Bodifying + Perfecting Masque 500ml/16.9oz,1,3,36.27,36.27,10.881,6/4/2018 13:09,Standard Class,Los Angeles,United States,California
1067,4/25/2018,481,33762,544-16370874344,Beauty,Personal Care,Aveda,Aveda Damage Remedy Restructuring Shampoo (New Packaging - Salon Product) 1000ml/33.8oz,1,6,38.88,38.88,18.6624,6/4/2018 13:09,Standard Class,Chicago,United States,Illinois
1068,3/2/2018,561,36211,544-13014119103,Beauty,Personal Care,Cowshed,Cowshed Knackered Cow Relaxing Bath & Body Oil 100ml/3.38oz,1,4,111.04,111.04,29.9808,6/4/2018 13:10,Standard Class,Gilbert,United States,Arizona
1069,11/22/2018,346,39342,544-16199551101,Beauty,Skincare,L'Oreal,L'Oreal Dermo-Expertise RevitaLift Anti-Wrinkle + Firming Night Cream (New Formula) 50ml/1.7oz,1,4,209.6,209.6,96.416,6/4/2018 13:12,Standard Class,Gilbert,United States,Arizona
1070,5/24/2018,481,53572,544-9265774344,Beauty,Men,Aveda,Aveda Brilliant Damage Control with Camomile 250ml/8.5oz,1,4,8.92,8.92,3.9248,6/4/2018 13:12,First Class,Springfield,United States,Virginia
1071,3/25/2019,689,59392,544-6779181703,Beauty,Men,Yves Saint Laurent,Yves Saint Laurent L'Homme After Shave Balm 100ml/3.4oz,1,3,31.05,31.05,14.904,6/4/2018 13:30,Standard Class,New York City,United States,New York
1072,3/2/2019,59,33897,544-21403800202,Beauty,Makeup,Benefit,Benefit Galifornia Powder Blush 5g/0.17oz,1,1,35.96,35.96,3.596,6/4/2018 14:09,Second Class,Jackson,United States,Michigan
1073,9/23/2018,59,56395,544-2698240206,Beauty,Fragrance,Joop,Joop Le Bain Eau De Parum Spray 40ml/1.3oz,1,5,"5,083.96",5083.96,1906.485,6/4/2018 14:16,Standard Class,Memphis,United States,Tennessee
1074,5/1/2018,346,58483,544-21936304144,Beauty,Personal Care,Philip Kingsley,Philip Kingsley Daily Damage Defence Extreme Conditioning Spray 125ml/4.22oz,1,2,31.98,31.984,-7.996,6/4/2018 15:05,Standard Class,Memphis,United States,Tennessee
1075,4/6/2018,346,36792,544-17264363101,Beauty,Skincare,Ella Bache,Ella Bache Detox Aromatique Extra-Matifying Cream (Salon Size) 100ml/3.38oz,1,6,209.94,209.94,39.8886,6/4/2018 15:15,Standard Class,Memphis,United States,Tennessee
1076,3/14/2018,692,47625,544-1637483101,Beauty,Skincare,Sisley,Sisley Botanical Night Cream With Collagen & Woodmallow 50ml/1.6oz,1,3,21.31,21.312,7.992,6/4/2018 15:42,First Class,Houston,United States,Texas
1077,9/11/2018,666,59471,544-17472781706,Beauty,Fragrance,Yves Saint Laurent,Yves Saint Laurent Black Opium Eau De Parfum Spray 50ml/1.6oz,1,3,617.98,617.976,-7.7247,6/4/2018 15:42,First Class,Houston,United States,Texas
1078,12/21/2018,693,32610,544-17873539305,Beauty,Men,Davidoff,Davidoff Cool Water Night Dive Eau De Toilette Spray 125ml/4.2oz,1,5,55.6,55.6,6.255,6/4/2018 15:43,First Class,Houston,United States,Texas
1079,5/24/2018,693,34918,544-15094693702,Beauty,Makeup,bareMinerals,BareMinerals BareMinerals Round The Clock Waterproof Eyeliner - Midnight (Blackout) 1.2g/0.04oz,1,4,123.92,123.92,55.764,6/4/2018 15:45,Second Class,Houston,United States,Texas
1080,8/29/2018,692,35967,544-10217380321,Beauty,Men,Clarins,Clarins Men After Shave Energizer 100ml/3.4oz,1,2,9.39,9.392,3.2872,6/4/2018 15:48,First Class,Decatur,United States,Alabama
1081,9/18/2018,688,54838,544-22283166105,Beauty,Men,Cerruti,Cerruti 1881 Essentiel Eau De Toilette Spray 50ml/1.7oz,1,2,2.89,2.892,-2.3136,6/4/2018 15:54,First Class,Decatur,United States,Alabama
1082,5/21/2019,480,38913,544-21671280901,Beauty,Skincare,Lancome,Lancome Absolue Precious Cells Nourishing And Revitalizing Rose Mask 75ml/2.6oz,1,10,159.84,159.84,45.954,6/4/2018 15:56,Standard Class,San Francisco,United States,California
1083,11/14/2018,688,56559,544-22544864006,Beauty,Fragrance,Jil Sander,Jil Sander Sun Shake Eau De Toilette Spray 100ml/3.4oz,1,1,74.24,74.24,8.352,6/4/2018 16:00,Standard Class,San Francisco,United States,California
1084,2/15/2019,64,47813,544-22326083114,Beauty,Skincare,Sisley,Sisley Emulsion Ecologique Discovery Program: Ecological Compound 125ml+ Eau Efficace 30ml+ Hydra-Global 10ml+ Baume Efficace 5ml 4pcs,1,5,91.36,91.36,29.692,6/4/2018 16:00,Standard Class,Durham,United States,North Carolina
1085,1/8/2019,64,59401,544-11242200644,Beauty,Personal Care,Wella,Wella SP Perfect Ends Finishing Care (Repairs for Suppleness) 40ml/1.33oz,1,2,130.11,130.112,13.0112,6/4/2018 16:00,First Class,Chicago,United States,Illinois
1086,3/2/2019,480,32923,544-17680934305,Beauty,Men,Hugo Boss,Hugo Boss Hugo Just Different Eau De Toilette Spray 125ml/4.2oz,1,3,4.82,4.824,1.7487,6/4/2018 16:00,Second Class,Columbia,United States,South Carolina
1087,12/20/2018,695,33305,544-16411409406,Beauty,Fragrance,Penhaligon's,Penhaligon's Iris Prima Eau De Parfum Spray 50ml/1.7oz,1,5,67.15,67.15,16.7875,6/4/2018 16:02,Standard Class,Rochester,United States,Minnesota
1088,4/20/2019,695,36679,544-20868800001,Beauty,Skincare,Elemis,Elemis Dynamic Resurfacing Facial Wash 200ml/6.7oz,1,3,7.24,7.236,-6.03,6/4/2018 16:02,Standard Class,Rochester,United States,Minnesota
1089,4/2/2018,696,35029,544-16180709221,Beauty,Personal Care,Billy Jealousy,Billy Jealousy Triple Crown 3 In 1 Body Wash 236ml/8oz,1,2,31.86,31.86,11.151,6/4/2018 16:03,Second Class,Houston,United States,Texas
1090,4/30/2019,696,34895,544-21349693701,Beauty,Skincare,bareMinerals,BareMinerals Skinlongevity Vital Power Eye Gel Cream -,1,3,89.97,89.97,39.5868,6/4/2018 16:06,Standard Class,Los Angeles,United States,California
1091,4/23/2019,698,56539,544-22283018005,Beauty,Men,Jimmy Choo,Jimmy Choo Man Intense Eau De Toilette Spray 50ml/1.7oz,1,3,299.97,299.97,131.9868,6/4/2018 16:10,Standard Class,Los Angeles,United States,California
1092,4/16/2019,563,36801,544-13135863101,Beauty,Skincare,Ella Bache,Ella Bache Hydra Repulp Rehydrating & Revitalising Hyaluronic Grape Flower Essence (Salon Size) 25ml/0.85oz,1,2,65.57,65.568,23.7684,6/4/2018 16:18,Standard Class,Los Angeles,United States,California
1093,5/24/2019,563,34162,544-15289263103,Beauty,Personal Care,Ella Bache,Ella Bache Legtonic 6.6% 180ml/6oz,1,3,70.95,70.95,18.447,6/4/2018 16:20,Second Class,Minneapolis,United States,Minnesota
1094,2/3/2019,698,59117,544-22462144403,Beauty,Personal Care,Van Cleef & Arpels,Van Cleef & Arpels First Perfumed Soap 100g/3.5oz,1,5,15.75,15.75,7.56,6/4/2018 16:22,Second Class,Minneapolis,United States,Minnesota
1095,10/13/2018,699,33969,544-18666610644,Beauty,Personal Care,Carol's Daughter,Carol's Daughter Marula Curl Therapy Softening Hair Mask 200g/7oz,1,3,12.72,12.72,4.9608,6/4/2018 16:24,Second Class,Minneapolis,United States,Minnesota
1096,3/9/2019,440,58494,544-22088690744,Beauty,Personal Care,Phyto,"Phyto Huile Suprême Rich Smoothing Oil (Dry, Thick and Rebellious Hair) 100ml/3.4oz",1,4,14.28,14.28,3.7128,6/4/2018 16:48,Standard Class,Portland,United States,Oregon
1097,3/24/2019,697,53322,544-17218711824,Beauty,Personal Care,AlfaParf,AlfaParf Semi Di Lino Scalp Care Energizing Lotion (For Hair Loss) 12x10ml/0.34oz,1,2,89.9,89.9,25.172,6/4/2018 16:56,Second Class,New York City,United States,New York
1098,2/3/2018,682,35043,544-20950100344,Beauty,Men,BioSilk,BioSilk Silk Therapy Spray Spritz (Firm Hold) 207ml/7oz,1,1,15.51,15.51,3.8775,6/4/2018 17:26,First Class,San Francisco,United States,California
1099,11/2/2018,323,38233,544-12842199921,Beauty,Men,Jack Black,Jack Black Intense Therapy Lip Balm SPF 25 With Black Tea & Blackberry 7g/0.25oz,1,2,"1,217.57",1217.568,456.588,6/4/2018 17:26,Standard Class,Saint Paul,United States,Minnesota
1100,4/6/2018,346,31479,544-12201089106,Beauty,Fragrance,Serge Lutens,Serge Lutens L' Eau Serge Lutens Eau De Parfum Spray 50ml/1.6oz,1,2,39.96,39.96,14.3856,6/4/2018 17:27,Standard Class,Chicago,United States,Illinois
1101,5/27/2019,682,29631,544-16916685901,Beauty,Skincare,Decleor,Decleor Aromessence Mandarine Smoothing Night Balm (Salon Size) 100ml/3.1oz,1,10,33.44,33.44,11.704,6/4/2018 17:28,Standard Class,Chicago,United States,Illinois
1102,10/22/2018,682,31973,544-16578634301,Beauty,Skincare,Babor,Babor Skinovage PX Pure Intense Purifying Mask (For Problem Skin) 50ml/1.7oz,1,2,386.34,386.34,54.0876,6/4/2018 17:29,Standard Class,Chicago,United States,Illinois
1103,3/8/2018,323,29848,544-18232541906,Beauty,Fragrance,Bebe,Bebe Nouveau Eau De Parfum Spray 100ml/3.4oz,1,2,10.56,10.56,4.752,6/4/2018 17:31,Second Class,Rochester,United States,Minnesota
1104,7/30/2018,323,28585,544-21721383714,Beauty,Skincare,Lancaster,Lancaster Suractif Comfort Lift Set: Comforting Day Cream 50ml+ Serum Youth Renewal 10ml+ Lifting Eye Cream 3ml+ Express Cleanser 100ml 4pcs,1,7,33.49,33.488,10.465,6/4/2018 17:41,Standard Class,Aurora,United States,Colorado
1105,12/24/2017,682,29617,544-10701805001,Beauty,Skincare,CosMedix,CosMedix Refine Plus Refinishing Treatment 15ml/0.5oz,1,5,26.72,26.72,9.352,6/4/2018 17:42,Standard Class,Aurora,United States,Colorado
1106,11/3/2018,682,30058,544-21222084006,Beauty,Fragrance,Calvin Klein,Calvin Klein CK All Eau De Toilette Spray 100ml/3.4oz,1,3,6.91,6.912,2.5056,6/4/2018 17:43,Standard Class,Aurora,United States,Colorado
1107,11/13/2018,682,28161,544-19495496003,Beauty,Skincare,Prevage,Prevage Anti-Aging Neck And Decollete Firm & Repair Cream 50g/1.7oz,1,3,8.86,8.856,2.8782,6/4/2018 17:44,Standard Class,Charlotte,United States,North Carolina
1108,2/2/2018,682,26936,544-21083280302,Beauty,Makeup,Clarins,Clarins Pore Perfecting Matifying Kit with Blotting Papers 6.5g/0.2oz,1,2,10.69,10.688,3.7408,6/4/2018 17:45,Standard Class,Charlotte,United States,North Carolina
1109,5/27/2019,682,49616,544-22253580601,Beauty,Skincare,Estee Lauder,Estee Lauder DayWear Eye Cooling Anti-Oxidant Moisture Gel Cream 15ml/0.5oz,1,2,55.98,55.984,4.1988,6/4/2018 17:48,Standard Class,Charlotte,United States,North Carolina
1110,10/7/2018,682,32850,544-20180633806,Beauty,Fragrance,Gucci,Gucci Flora By Gucci Eau Fraiche Eau De Toilette Spray (New Packaging) 50ml/1.6oz,1,2,4.09,4.086,-2.9964,6/4/2018 17:50,Standard Class,Orland Park,United States,Illinois
